p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
6.86363472437756e-185,0.50887447673662,0.656,0.498,1.37272694487551e-181,4,PSMC3IP
5.94243890518171e-184,0.544837382155149,0.869,0.757,1.18848778103634e-180,4,NUCKS1
3.05807314476208e-181,0.617113394586711,0.749,0.637,6.11614628952417e-178,4,CKS1B
2.73639219301691e-179,0.747214606430827,0.694,0.475,5.47278438603381e-176,4,DEK
1.62276237249908e-160,0.252004017770637,0.666,0.496,3.24552474499815e-157,4,PTTG3P
3.26399634438516e-159,0.334505196553997,0.639,0.47,6.52799268877031e-156,4,CCNA2
2.38417476531104e-155,0.369445150128133,0.956,0.85,4.76834953062208e-152,4,CKB
3.15548651202707e-154,0.345241737091933,0.998,0.956,6.31097302405413e-151,4,DBI
1.0705618660945e-149,0.429417824162221,0.645,0.469,2.141123732189e-146,4,RACGAP1
6.99050065909619e-144,0.835101242538917,0.626,0.418,1.39810013181924e-140,4,RNASEH2A
5.72811171449333e-132,0.400192151155259,0.802,0.666,1.14562234289867e-128,4,CDKN2C
9.58044256676232e-131,0.501396908536857,0.624,0.468,1.91608851335246e-127,4,TACC3
2.43627319356165e-130,0.422379662330908,0.873,0.726,4.87254638712329e-127,4,TUBB2B
9.30611305217915e-129,0.440918676862153,0.604,0.443,1.86122261043583e-125,4,RFC3
2.8070556154869e-126,0.619454621382033,0.683,0.547,5.61411123097381e-123,4,TMPO
4.29872892156016e-124,0.258077907219008,0.959,0.864,8.59745784312033e-121,4,MT2P1
2.48095725223478e-123,0.34448377670905,0.574,0.359,4.96191450446957e-120,4,XRCC2
4.75515077084955e-115,0.875120378029157,0.638,0.527,9.5103015416991e-112,4,MCM4
8.01354261630979e-114,0.510005117554646,0.696,0.589,1.60270852326196e-110,4,PTTG1
5.35613875745981e-112,0.368408584294214,0.735,0.571,1.07122775149196e-108,4,CDK4
6.13433927610949e-112,0.661383921943701,0.637,0.502,1.2268678552219e-108,4,TOP2A
1.09518724061747e-111,0.537192362065392,0.584,0.352,2.19037448123495e-108,4,CENPF
8.57110307438105e-110,0.36158045236099,0.684,0.488,1.71422061487621e-106,4,ACAT2
3.38757305817854e-107,0.590946029560672,0.602,0.431,6.77514611635709e-104,4,MCM3
5.0729318924702e-106,0.388151914161864,0.574,0.361,1.01458637849404e-102,4,NCAPH
1.58377673355258e-101,0.501283746821717,0.602,0.482,3.16755346710516e-98,4,GINS2
4.19111171527901e-101,0.539411070230406,0.564,0.353,8.38222343055803e-98,4,DNMT1
5.40158597727906e-101,0.48842467587213,0.56,0.314,1.08031719545581e-97,4,TMSB15A
1.07045342978432e-99,0.475143391724022,0.646,0.442,2.14090685956865e-96,4,BCYRN1
2.93453567956984e-99,0.429353186316894,0.586,0.476,5.86907135913969e-96,4,CLSPN
3.5446508036653e-99,0.262696211974176,0.65,0.53,7.0893016073306e-96,4,ANLN
1.72711942059046e-98,0.420308241583554,0.838,0.761,3.45423884118093e-95,4,PHGDH
7.13069486639672e-98,0.336551860037448,0.996,0.97,1.42613897327934e-94,4,PTN
3.22785115813843e-94,0.272361330716503,0.911,0.825,6.45570231627687e-91,4,KCNQ2
1.14669498987168e-84,0.580227093446653,0.626,0.522,2.29338997974337e-81,4,GGH
2.12055049682447e-84,0.309027425302312,0.545,0.328,4.24110099364894e-81,4,C21orf58
4.33610447038693e-84,0.468431671851611,0.569,0.387,8.67220894077386e-81,4,EZH2
1.69136277541775e-82,0.334396727316817,0.561,0.407,3.38272555083549e-79,4,KIF15
2.89151550906908e-75,0.369285764958007,0.676,0.562,5.78303101813817e-72,4,UBE2S
1.47323801335888e-71,0.364791245769368,0.598,0.484,2.94647602671775e-68,4,PRC1
9.7331161969757e-69,0.43418455380851,0.608,0.459,1.94662323939514e-65,4,RP11-386G11.10
2.56003504161893e-66,0.431945752809341,0.547,0.351,5.12007008323786e-63,4,AURKB
1.34996543464003e-64,0.262002768597588,0.919,0.859,2.69993086928006e-61,4,FXYD6
4.58478596259551e-63,0.504713633387619,0.544,0.378,9.16957192519101e-60,4,SPC24
9.44864676715113e-62,0.297753016155375,0.71,0.586,1.88972935343023e-58,4,RAD21
9.15822077586261e-61,0.550140579499949,0.56,0.46,1.83164415517252e-57,4,ATAD2
1.0450828144245e-60,0.274904064965641,0.998,0.982,2.09016562884901e-57,4,MT2A
1.36309537313594e-60,0.304850014059521,0.586,0.516,2.72619074627188e-57,4,NRGN
